query_id,query,search_term,qid,label,description
2625,7月19日,7月19日,Q2726,7月19日,日期
401,阿尔巴尼亚,阿尔巴尼亚,,,
345,数论,数论,Q12479,数论,純數學的一個分支主要致力於整數的研究
4150,儒家,儒家,Q9581,儒家,諸子百家之一
595,人口密度,人口密度,Q22856,人口密度,人口学概念
2818,田纳西·威廉斯,田纳西·威廉斯,Q134262,田纳西·威廉斯,美国剧作家（1911—1983）
752,4月1日,4月1日,Q2510,4月1日,日期
3788,雷锋,雷锋,,,
2884,艾青,艾青,Q381194,艾青,中国诗人（1910－1996）
3343,蓝胡子公爵的城堡,蓝胡子公爵的城堡,Q249749,蓝胡子公爵的城堡,巴托克·贝拉1918年歌剧
4023,8月26日,8月26日,Q2820,8月26日,日期
2546,“三个代表”重要思想,“三个代表”重要思想,Q656448,“三个代表”重要思想,以江泽民为核心的中共领导层提出的政治理念
4334,葛洪,葛洪,Q553678,葛洪,4th century Chinese scholar and philosopher
4485,爆竹,爆竹,Q588748,爆竹,small explosive device primarily designed to make noise
4778,牛街礼拜寺,牛街礼拜寺,Q603256,牛街礼拜寺,中國北京市的清真寺
5157,氮,氮,Q627,氮,原子序為7的化學元素
5755,肯尼迪航天中心,肯尼迪航天中心,Q48821,肯尼迪航天中心,美國太空發射場
6356,黑海,黑海,Q166,黑海,陸間海
6500,胡適,胡適,Q47667,胡適,中國學者，新文化運動的領袖之一
7757,11月30日,11月30日,Q3015,11月30日,日期
7486,克里斯托弗·哥伦布,克里斯托弗·哥伦布,Q7322,克里斯托弗·哥伦布,探險家、航海家和殖民者
7988,愛德蒙多·德·亞米契斯,愛德蒙多·德·亞米契斯,Q240576,愛德蒙多·德·亞米契斯,Italian writer (1846-1908)
7997,联合国安全理事会,联合国安全理事会,Q37470,联合国安全理事会,聯合國的六大主要機構之一，負責維護國際和平與安全
6398,10月31日,10月31日,Q2949,10月31日,日期
9075,前16年,前16年,Q41232,前16年,年
9501,大萧条,大萧条,Q8698,大萧条,20世紀前期的全球經濟危機
9563,崇基學院,崇基學院,Q1666729,崇基學院,香港中文大學一所書院
9688,Tetsuya,Tetsuya,Q306277,Tetsuya,Japanese musician
9992,東條英機,東條英機,,,
10120,12月30日,12月30日,Q2901,12月30日,日期
10744,鳥山明,鳥山明,Q208582,鳥山明,日本漫畫家
10159,亚历山大一世 (俄国),亚历山大一世 (俄国),,,
11152,MAN,MAN,,,
9972,密度,密度,Q29539,密度,单位
12271,授时历,授时历,Q11077930,授时历,元代郭守敬、王恂、许衡等人创制的一种历法
12161,凯撒电影奖,凯撒电影奖,Q174389,凯撒电影奖,法国电影奖项
12470,尼尔·基诺克,尼尔·基诺克,,,
12587,直立人,直立人,Q101362,直立人,哺乳动物物种
12939,106年,106年,Q30941,106年,年
13008,147年,147年,Q33137,147年,年份
13022,159年,159年,Q29976,159年,年份
13044,181年,181年,Q31368,181年,年份
13166,283年,283年,Q32054,283年,年份
13175,292年,292年,Q32132,292年,年份
13220,333年,333年,Q32007,333年,年份
13190,305年,305年,Q33642,305年,年
13189,304年,304年,Q32149,304年,年
13222,335年,335年,Q32282,335年,年份
13948,520年,520年,Q32902,520年,年份
13238,349年,349年,Q32121,349年,年份
13256,365年,365年,Q37140,365年,年份
13946,518年,518年,Q30183,518年,年份
14022,590年,590年,Q32710,590年,年份
14268,742年,742年,Q23601,742年,年份
14285,760年,760年,Q30552,760年,年份
14429,904年,904年,Q30100,904年,年
14393,868年,868年,Q25061,868年,年份
14608,1083年,1083年,Q19455,1083年,年
14413,888年,888年,Q29956,888年,年份
14680,1158年,1158年,Q19656,1158年,年份
14812,1291年,1291年,Q5554,1291年,年份
14769,1249年,1249年,Q5485,1249年,年份
14560,1034年,1034年,Q19324,1034年,年
14882,1359年,1359年,Q6143,1359年,年
14974,1455年,1455年,Q6480,1455年,年
15048,1524年,1524年,Q6309,1524年,年
15164,1640年,1640年,Q6901,1640年,年
15184,1660年,1660年,Q7001,1660年,年份
17402,实数,实数,Q12916,实数,沿連續線的數量
17559,说文解字,说文解字,,,
17654,信息技术,信息技术,Q11661,信息技术,基于计算机信息系统的开发，管理和使用
18434,国际信息学奥林匹克竞赛,国际信息学奥林匹克竞赛,,,
17825,電腦檔案,電腦檔案,Q82753,電腦檔案,contained block of information on a computer
18684,草海,草海,Q1930897,草海,"lake in Weining County, Guizhou, China"
18870,吠陀宗教,吠陀宗教,Q889766,吠陀宗教,South Asian religion
20251,鼻烟壶,鼻烟壶,Q1321480,鼻烟壶,Indent on back of hand between tendons
20335,夏雨,夏雨,Q697237,夏雨,中国大陆演员
20565,小熊維尼,小熊維尼,Q188574,小熊維尼,故事角色
18858,盘古,盘古,Q245395,盘古,中国神话人物
20602,费雯·丽,费雯·丽,Q129429,费雯·丽,英国女演员（1913－1967）
20635,蒙蒂·琼斯,蒙蒂·琼斯,Q832747,蒙蒂·琼斯,Sierra Leonean plant breeder
20791,戛纳电影节,戛纳电影节,Q42369,戛纳电影节,法國年度國際電影活動
21059,澎湖 (消歧义),澎湖 (消歧义),,,
21024,水力帝国,水力帝国,Q1366407,水力帝国,social or government structure which maintains power and control through exclusive control over access to water
21511,希腊神话,希腊神话,,,
21562,材料力学,材料力学,Q240553,材料力学,behavior of solid objects subject to stresses and strains
22146,元搜索引擎,元搜索引擎,Q114106,元搜索引擎,search tool that uses other search engines' data to produce their own results from the Internet
22730,道藏,道藏,Q1141990,道藏,Collection of Taoist texts
23449,72,72,Q243817,72,自然數
24197,葛丽泰·嘉宝,葛丽泰·嘉宝,Q5443,葛丽泰·嘉宝,Swedish-American actress (1905–1990)
21674,编码,编码,Q4994879,编码,"cipher that operates on semantic tokens, rather than individual symbols or fixed-size blocks"
24272,出版学,出版学,Q10896657,出版学,应用科学
24416,伍乔,伍乔,Q9385286,伍乔,
24927,鸠鸽科,鸠鸽科,Q10856,鸠鸽科,鸽形目的一科鸟类
