item_qid,label_zh,label_kk,label_en,description_zh,description_kk,description_en
P522,轨道类型,,type of orbit,,,orbit a satellite has around its central body
P2321,總積分排名,,general classification of race participants,,,classification of race participants
P400,平台,платформа,platform,開發和運行作品的平台，作品可能不同版本運行在不同平台,,"platform for which a work was developed or released, or the specific platform version of a software product"
P822,吉祥物,,mascot,组织的吉祥物，例如 运动队或大学,,"mascot of an organization, e.g. a sports team or university"
P12687,,,category for deaths in this time period,,,category item for people who died in this time period
P10602,,,applicant,,,"applicant to a grant, program, or other funding agency or rating organization"
P880,中央处理器,,CPU,在主题项目中找到中央处理单元,,central processing unit found within the subject item
P8307,排序,,has sorting,,,"entries are sorted by this in the appendix, list or table"
P1346,獲勝者,жеңімпаз,winner,在某項活動中取得勝利的一方,,"winner of a competition or similar event, not to be used for awards (instead use ""award received"" (P166) on awardee's item, possibly qualified with ""for work"" (P1686)) or for wars or battles"
P749,母組織,,parent organization,一個組織的母方組織，是子組織（P355）的逆屬性,,"parent organization of an organization, opposite of subsidiaries (P355)"
P1640,館長,,curator,負責此收藏的內容專家,,content specialist responsible for this collection or exhibition
P58,編劇,сценарист,screenwriter,为主体项目编写剧本的人,,person(s) who wrote the script for subject item
P1079,,,launch contractor,,,organization contracted to launch the rocket
P5995,体育用品供应商,,kit supplier,,,"official supplier of sports goods to a given sports club, sportsperson or a national sports team"
P1290,,,godparent,,,person who is the godparent of a given person
P3448,繼父母,,stepparent,主體具有的作為其繼父母的對象,,subject has the object as their stepparent
P8646,资料片原作,,expansion of,本项目作为资料片对应的原作游戏（电子游戏、桌上游戏或棋盘游戏）,,"expansion pack of a game (video game, tabletop or board game)"
P7936,商业模式,,business model,,,business model a business enterprise or creative work operates under
P3095,从业者,,practiced by,研究該主題或從事該專業的代理人類型,,type of agents that study this subject or work in this field
P4006,,,overrules,,,case that supersedes another case
P2354,相关列表,сәйкес тізім,has list,该主题相关的维基媒体列表条目,,Wikimedia list related to this subject
P2922,月份,,month of the year,,,"month of the year during which this item occurs, applies to or is valid in"
P287,设计者,,designed by,負責設計這個項目的人,,person(s) or organization which designed the object
P291,出版地,жарияланған жері,place of publication,項目第一版的出版地,,geographical place of publication of the edition (use 1st edition when referring to works)
P1304,中央銀行,,central bank,此地區的中央銀行,,country's central bank
P159,总部位置,,headquarters location,组织机构总部所在或曾经所在的城市。 对特定建筑物使用 P276 修饰符,,"city or town, where an organization's headquarters is or has been situated. Use P276 qualifier for specific building"
P2634,模特,,model,在作品创作期间摆姿势的人，无论该人最终是否被描绘成当事人,,"person who appears in an artwork or photograph, in the role of an artist's model, rather than subject"
P66,籍貫,,ancestral home,主体祖先的起源地,,place of origin for ancestors of subject
P5056,此人名字中的父名或母名,,patronym or matronym for this person,採用父母子女連名傳統的人名中，包含父親個人名或母親個人名的部份，一般上和姓氏不同，或者沒有姓氏,,"part of a person's name that comes from the given name of a parent, in naming traditions that require it"
