id,type,label-zh,label-zh-hans,label-zh-cn,label-zh-tw,label-yue,label-kk,label-en,description-zh,description-zh-hans,description-zh-cn,description-zh-tw,description-yue,description-en,alias-zh,alias-en,zhwiki,zh_yuewiki,kkwiki,enwiki,alias-kk,description-kk
Q31,item,比利時,比利时,比利时,比利時,比利時,Бельгия,Belgium,西歐國家,西欧国家,西欧国家,西歐國家,西歐國家,country in western Europe,"比利时王国, 比利時王國, 比利时","Kingdom of Belgium, BEL, be, 🇧🇪, BE, Koninkrijk België, Royaume de Belgique, Königreich Belgien, Belgien",https://zh.wikipedia.org/wiki/比利时,https://zh-yue.wikipedia.org/wiki/比利時,https://kk.wikipedia.org/wiki/Бельгия,https://en.wikipedia.org/wiki/Belgium,,
Q8,item,快樂,快乐,快乐,快樂,開心,бақыт,happiness,感受良好時的情緒反應,感受良好时的情绪反应,感受良好时的情绪反应,感受良好時的情緒反應,,mental or emotional state of well-being characterized by pleasant emotions,"歡樂, 幸福","joy, happy",https://zh.wikipedia.org/wiki/幸福,https://zh-yue.wikipedia.org/wiki/開心,https://kk.wikipedia.org/wiki/Бақыт,https://en.wikipedia.org/wiki/Happiness,:),
Q23,item,乔治·华盛顿,乔治·华盛顿,乔治·华盛顿,喬治·華盛頓,佐治華盛頓,Джордж Вашингтон,George Washington,美國第一任總統,美国第一任总统,美国第一任总统,美國第一任總統,,president of the United States from 1789 to 1797,"华盛顿, 喬治·華盛頓, 華盛頓, 兀兴腾, 瓦乘敦, 兀興騰","Father of the United States, The American Fabius, American Fabius",https://zh.wikipedia.org/wiki/乔治·华盛顿,https://zh-yue.wikipedia.org/wiki/佐治華盛頓,https://kk.wikipedia.org/wiki/Джордж Уошингтон,https://en.wikipedia.org/wiki/George Washington,,"американдық мемлекет және саяси қайраткері, АҚШ-тың бірінші президенті (1789—1797)"
Q24,item,傑克·鮑爾,杰克·鲍尔,杰克·鲍尔,傑克·鮑爾,包智傑,,Jack Bauer,電視劇《24》男主角,电视剧《24》男主角,电视剧《24》男主角,電視劇《24》男主角,,character from the television series 24,,,https://zh.wikipedia.org/wiki/傑克·鮑爾,https://zh-yue.wikipedia.org/wiki/包智傑,,https://en.wikipedia.org/wiki/Jack Bauer,,
Q42,item,道格拉斯·亞當斯,道格拉斯·亚当斯,道格拉斯·亚当斯,道格拉斯·亞當斯,道格拉斯亞當斯,,Douglas Adams,英國作家,英国作家,英国作家,英國文學家、幽默作家,,English author and humourist (1952–2001),亞當斯,"Douglas Noël Adams, DNA",https://zh.wikipedia.org/wiki/道格拉斯·亚当斯,https://zh-yue.wikipedia.org/wiki/道格拉斯亞當斯,,https://en.wikipedia.org/wiki/Douglas Adams,,
Q1868,item,保羅·奧特勒,,,,,,Paul Otlet,,,,,,"Belgian author, librarian and anti-colonial thinker",保罗·奥特莱,"Paul Marie Ghislain Otlet, Paul Marie Otlet",https://zh.wikipedia.org/wiki/保罗·奥特莱,,,https://en.wikipedia.org/wiki/Paul Otlet,,
Q2013,item,维基数据,维基数据,维基数据,維基數據,維基數據,Уикидерек,Wikidata,由維基媒體營運的人人可編輯的自由知識資料庫，並且由志工編輯維護,人人可编辑的自由知识库,人人可编辑的自由知识库,由維基媒體營運的人人可編輯的自由知識資料庫，並且由志工編輯維護,,free knowledge graph hosted by Wikimedia and edited by volunteers,"Wikidata, 維基資料","wikidata.org, m.wikidata.org, www.wikidata.org, WD, WKP, wikidatawiki, Wikidata.org, M.wikidata.org, Www.wikidata.org",https://zh.wikipedia.org/wiki/维基数据,https://zh-yue.wikipedia.org/wiki/維基數據,,https://en.wikipedia.org/wiki/Wikidata,,
Q45,item,葡萄牙,葡萄牙,葡萄牙,葡萄牙,葡萄牙,Португалия,Portugal,歐洲西南部國家,欧洲国家,欧洲国家,歐洲國家,,country in Southwestern Europe,"葡萄牙共和国, 葡国, 葡國","Portuguese Republic, PT, 🇵🇹, PRT, POR",https://zh.wikipedia.org/wiki/葡萄牙,https://zh-yue.wikipedia.org/wiki/葡萄牙,https://kk.wikipedia.org/wiki/Португалия,https://en.wikipedia.org/wiki/Portugal,,
Q51,item,南極洲,南极洲,南极洲,南極洲,南極洲,Антарктида,Antarctica,地球大陸，七大洲之一,七大洲之一,七大洲之一,七大洲之一,,polar continent in the Southern Hemisphere,,Antarctic Selection,https://zh.wikipedia.org/wiki/南极洲,https://zh-yue.wikipedia.org/wiki/南極洲,https://kk.wikipedia.org/wiki/Антарктида,https://en.wikipedia.org/wiki/Antarctica,,
Q58,item,陰莖,阴茎,阴茎,陰莖,朘,Жыныстық қатынас мүшесі,penis,雄性生殖器官,雄性生殖器官,雄性生殖器官,雄性生殖器官,人以其及諸多生物，雄性插入䧳性嘅生殖器官。,primary sexual organ of male animals,"雞巴, 陽具, 小雞雞, 雞雞, 屌, 肉棒, ㄐㄐ",,https://zh.wikipedia.org/wiki/阴茎,https://zh-yue.wikipedia.org/wiki/脧,https://kk.wikipedia.org/wiki/Пенис,https://en.wikipedia.org/wiki/Penis,,
Q68,item,电子计算机,电子计算机,电子计算机,電腦,電腦,компьютер,computer,根據指令對數據進行處理的機器,根据指令对数据进行处理的机器,根据指令对数据进行处理的机器,根據指令對數據進行處理的機器,,general-purpose device for performing arithmetic or logical operations,"电脑, 计算机系统, 電子計算機",general-purpose computer,https://zh.wikipedia.org/wiki/电子计算机,https://zh-yue.wikipedia.org/wiki/電腦,https://kk.wikipedia.org/wiki/Компьютер,https://en.wikipedia.org/wiki/Computer,,
Q75,item,互聯網,互联网,互联网,網際網路,互聯網,Интернет,Internet,全球性的計算機網絡,全球性的电脑网络,全球性的计算机网络,全球性的電腦網路,,global system of connected computer networks based on IP addressing and routing protocols,"英特網, 因特網, 網際網路, 互联网, 因特网, 英特网, 网际网络","the Internet, Net, the Net, global Internet",https://zh.wikipedia.org/wiki/互联网,https://zh-yue.wikipedia.org/wiki/互聯網,https://kk.wikipedia.org/wiki/Интернет,https://en.wikipedia.org/wiki/Internet,,
Q102,item,火山硅肺病,火山矽肺病,火山矽肺病,火山矽肺病,Pneumonoultramicroscopicsilicovolcanoconiosis,,pneumonoultramicroscopicsilicovolcanoconiosis,由于吸入硅酸盐微粒而导致的肺病,由于吸入硅酸盐微粒而导致的肺病,由于吸入硅酸盐微粒而导致的肺病,,,artificial word for a lung disease; longest English word published in a dictionary,超微粒硅酸盐尘埃沉着症,"pneumonoultramicroscopicsilicovolcanokoniosis, Pneumoconiosis",https://zh.wikipedia.org/wiki/火山肺矽病,https://zh-yue.wikipedia.org/wiki/Pneumonoultramicroscopicsilicovolcanoconiosis,,https://en.wikipedia.org/wiki/Pneumonoultramicroscopicsilicovolcanoconiosis,,
Q103,item,超級酷斃宇宙世界霹靂無敵棒,,,超級酷斃宇宙世界霹靂無敵棒,,Supercalifragilisticexpialidocious,Supercalifragilisticexpialidocious,,电影欢乐满人间中的歌曲,,電影歡樂滿人間中的歌曲,,song from the film and musical Mary Poppins,超级酷毙宇宙世界霹雳无敌棒,,https://zh.wikipedia.org/wiki/超级酷毙宇宙世界霹雳无敌棒,,https://kk.wikipedia.org/wiki/Supercalifragilisticexpialidocious,https://en.wikipedia.org/wiki/Supercalifragilisticexpialidocious,,
Q125,item,11月,11月,11月,11月,11月,қараша,November,公曆及儒略曆中第十一個月份,公历及儒略历中第十一个月份,公历及儒略历中第十一个月份,公曆及儒略曆中第十一個月份,,eleventh month in the Julian and Gregorian calendars,十一月,"Nov, 11th month",https://zh.wikipedia.org/wiki/11月,https://zh-yue.wikipedia.org/wiki/11月,https://kk.wikipedia.org/wiki/Қараша,https://en.wikipedia.org/wiki/November,ноябрь,Юлий және Григорий күнтізбесіндегі он бірінші ай
